name,freq,rank
org.apache.avro.Schema_java,97,1
org.apache.avro.generic.GenericData_java,89,2
org.apache.avro.TestSchema_java,83,3
org.apache.avro.reflect.ReflectData_java,78,4
org.apache.avro.generic.GenericDatumReader_java,59,5
org.apache.avro.specific.SpecificData_java,47,6
org.apache.avro.TestReflect_java,39,7
org.apache.avro.TestProtocolSpecific_java,38,8
org.apache.avro.reflect.ReflectDatumReader_java,38,8
org.apache.avro.TestDataFile_java,38,8
org.apache.avro.generic.GenericDatumWriter_java,37,11
org.apache.avro.reflect.ReflectDatumWriter_java,36,12
org.apache.avro.ipc.Responder_java,35,13
org.apache.avro.generic.TestGenericData_java,35,13
org.apache.avro.specific.SpecificCompiler_java,35,13
org.apache.avro.io.parsing.ResolvingGrammarGenerator_java,34,16
org.apache.avro.file.DataFileWriter_java,34,16
org.apache.avro.ipc.Requestor_java,34,16
org.apache.avro.Protocol_java,32,19
org.apache.avro.io.parsing.Symbol_java,31,20
org.apache.avro.tool.Main_java,27,21
org.apache.avro.TestProtocolGeneric_java,27,21
org.apache.avro.specific.SpecificDatumReader_java,27,21
org.apache.avro.specific.TestSpecificData_java,26,24
org.apache.avro.io.JsonDecoder_java,23,25
org.apache.avro.file.DataFileStream_java,23,25
org.apache.avro.io.ResolvingDecoder_java,22,27
org.apache.avro.io.Perf_java,22,27
org.apache.avro.RandomData_java,21,29
org.apache.avro.file.DataFileReader_java,21,29
org.apache.avro.io.JsonEncoder_java,20,31
org.apache.avro.specific.SpecificDatumWriter_java,18,32
org.apache.avro.tool.TestDataFileTools_java,17,33
org.apache.avro.io.BinaryDecoder_java,17,33
org.apache.avro.TestProtocolReflect_java,16,35
org.apache.avro.TestCompare_java,16,35
org.apache.avro.specific.SpecificRecordBase_java,16,35
org.apache.avro.io.TestBinaryDecoder_java,16,35
org.apache.avro.util.Utf8_java,15,39
org.apache.avro.io.TestValidatingIO_java,15,39
org.apache.avro.TestProtocolHttp_java,15,39
org.apache.avro.ipc.SocketServer_java,14,42
org.apache.avro.specific.SpecificRequestor_java,14,42
org.apache.avro.io.ValidatingDecoder_java,14,42
org.apache.avro.reflect.ReflectResponder_java,14,42
org.apache.avro.io.TestResolvingIOResolving_java,13,46
org.apache.avro.io.ValidatingEncoder_java,13,46
org.apache.avro.io.TestResolvingIO_java,13,46
org.apache.avro.ipc.RPCContext_java,13,46
org.apache.avro.tool.Util_java,13,46
org.apache.avro.specific.SpecificResponder_java,12,51
org.apache.avro.io.parsing.ValidatingGrammarGenerator_java,12,51
org.apache.avro.ipc.HttpTransceiver_java,12,51
org.apache.avro.TestDataFileReflect_java,12,51
org.apache.avro.ipc.SocketTransceiver_java,12,51
org.apache.avro.tool.BinaryFragmentToJsonTool_java,12,51
org.apache.avro.io.BinaryData_java,12,51
org.apache.avro.io.parsing.JsonGrammarGenerator_java,12,51
org.apache.avro.tool.RpcReceiveTool_java,11,59
org.apache.avro.io.Encoder_java,11,59
org.apache.avro.TestNamespaceSpecific_java,11,59
org.apache.avro.io.TestBlockingIO_java,11,59
org.apache.avro.file.DeflateCodec_java,11,59
org.apache.avro.file.CodecFactory_java,11,59
org.apache.avro.io.BlockingBinaryEncoder_java,11,59
org.apache.avro.file.DataFileConstants_java,11,59
org.apache.avro.tool.DataFileReadTool_java,11,59
org.apache.avro.io.Decoder_java,11,59
org.apache.avro.tool.JsonToBinaryFragmentTool_java,11,59
org.apache.avro.tool.DataFileWriteTool_java,10,70
org.apache.avro.reflect.ReflectRequestor_java,10,70
org.apache.avro.io.BinaryEncoder_java,10,70
org.apache.avro.tool.RpcSendTool_java,10,70
org.apache.avro.specific.SpecificExceptionBase_java,10,70
org.apache.avro.ipc.stats.TestStatsPluginAndServlet_java,10,70
org.apache.avro.io.TestEncoders_java,10,70
org.apache.avro.io.parsing.Parser_java,10,70
org.apache.avro.generic.TestGenericDatumWriter_java,10,70
org.apache.avro.file.NullCodec_java,9,79
org.apache.avro.RPCMetaTestPlugin_java,9,79
org.apache.avro.io.parsing.SkipParser_java,9,79
org.apache.avro.generic.GenericRequestor_java,9,79
org.apache.avro.TestBulkData_java,9,79
org.apache.avro.tool.TestJsonToFromBinaryFragmentTools_java,9,79
org.apache.avro.file.Codec_java,9,79
org.apache.avro.specific.TestSpecificCompiler_java,8,86
org.apache.avro.ipc.Transceiver_java,8,86
org.apache.avro.TestDataFileConcat_java,8,86
org.apache.avro.TestProtocolReflectMeta_java,8,86
org.apache.avro.AvroTestUtil_java,8,86
org.apache.avro.GenerateBlockingData_java,8,86
org.apache.avro.TestProtocolDatagram_java,8,86
org.apache.avro.specific.SpecificFixed_java,8,86
org.apache.avro.io.TestBlockingIO2_java,7,94
org.apache.avro.ipc.stats.StatsServlet_java,7,94
org.apache.avro.io.parsing.TestResolvingGrammarGenerator_java,7,94
org.apache.avro.io.DirectBinaryDecoder_java,7,94
org.apache.avro.TestProtocolSpecificMeta_java,7,94
org.apache.avro.generic.GenericArray_java,7,94
org.apache.avro.ipc.stats.StatsPlugin_java,7,94
org.apache.avro.TestDataFileMeta_java,7,94
org.apache.avro.TestProtocolGenericMeta_java,6,102
org.apache.avro.tool.Tool_java,6,102
org.apache.avro.util.TestUtf8_java,6,102
org.apache.avro.ipc.HttpServer_java,6,102
org.apache.avro.TestNamespaceReflect_java,6,102
org.apache.avro.BarRecord_java,6,102
org.apache.avro.io.DecoderFactory_java,6,102
org.apache.avro.reflect.InduceSchemaTool_java,5,109
org.apache.avro.tool.TestRpcReceiveAndSendTools_java,5,109
org.apache.avro.reflect.Union_java,5,109
org.apache.avro.ipc.stats.TestHistogram_java,5,109
org.apache.avro.io.ParsingDecoder_java,5,109
org.apache.avro.ipc.RPCPlugin_java,5,109
org.apache.avro.io.ParsingEncoder_java,5,109
org.apache.avro.ipc.DatagramServer_java,5,109
org.apache.avro.specific.SpecificRecord_java,5,109
org.apache.avro.generic.GenericRecord_java,5,109
org.apache.avro.generic.GenericResponder_java,5,109
org.apache.avro.ipc.stats.Histogram_java,5,109
org.apache.avro.TestProtocolParsing_java,5,109
